Date,Close/Last,Volume,Open,High,Low
10/27/2021,4551.68,--,4580.22,4584.57,4551.66
10/26/2021,4574.79,--,4578.69,4598.53,4569.17
10/25/2021,4566.48,--,4553.69,4572.62,4537.36
10/22/2021,4544.9,--,4546.12,4559.67,4524
10/21/2021,4549.78,--,4532.24,4551.44,4526.89
10/20/2021,4536.19,--,4524.42,4540.87,4524.4
10/19/2021,4519.63,--,4497.34,4520.4,4496.41
10/18/2021,4486.46,--,4463.72,4488.75,4447.47
10/15/2021,4471.37,--,4447.69,4475.82,4447.69
10/14/2021,4438.26,--,4386.75,4439.73,4386.75
10/13/2021,4363.8,--,4358.01,4372.87,4329.92
10/12/2021,4350.65,--,4368.31,4374.89,4342.09
10/11/2021,4361.19,--,4385.44,4415.88,4360.59
10/08/2021,4391.34,--,4406.51,4412.02,4386.22
10/07/2021,4399.76,--,4383.73,4429.97,4383.73
10/06/2021,4363.55,--,4319.57,4365.57,4290.49
10/05/2021,4345.72,--,4309.87,4369.23,4309.87
10/04/2021,4300.46,--,4348.84,4355.51,4278.94
10/01/2021,4357.04,--,4317.16,4375.19,4288.52
09/30/2021,4307.54,--,4370.67,4382.55,4306.24
09/29/2021,4359.46,--,4362.41,4385.57,4355.08
09/28/2021,4352.63,--,4419.54,4419.54,4346.33
09/27/2021,4443.11,--,4442.12,4457.3,4436.19
09/24/2021,4455.48,--,4438.04,4463.12,4430.27
09/23/2021,4448.98,--,4406.75,4465.4,4406.75
09/22/2021,4395.64,--,4367.43,4416.75,4367.43
09/21/2021,4354.19,--,4374.45,4394.87,4347.96
09/20/2021,4357.73,--,4402.95,4402.95,4305.91
09/17/2021,4432.99,--,4469.74,4471.52,4427.76
09/16/2021,4473.75,--,4477.09,4485.87,4443.8
09/15/2021,4480.7,--,4447.49,4486.87,4438.37
09/14/2021,4443.05,--,4479.33,4485.68,4435.46
09/13/2021,4468.73,--,4474.81,4492.99,4445.7
09/10/2021,4458.58,--,4506.92,4520.47,4457.66
09/09/2021,4493.28,--,4513.02,4529.9,4492.07
09/08/2021,4514.07,--,4518.09,4521.79,4493.95
09/07/2021,4520.03,--,4535.38,4535.38,4513
09/06/2021,4535.43,--,0,0,0
